"id","created_at","updated_at","deleted_at","name","latitude","longitude","country","location"
"01d43435-e79e-4854-a75f-f91eae8747bf","2025-04-19 16:28:59.895524+00","2025-04-19 16:28:59.895524+00",,"Phước Lý Nhì","10.11614700","106.20891700","","Vũng Liêm, Vĩnh Long"
"0b04439d-0748-4eca-8ad4-027d28cd4354","2025-04-19 16:28:59.895524+00","2025-04-19 16:28:59.895524+00",,"Tấn Long – Tấn Mỹ","10.53727800","105.49197200","","Chợ Mới, An Giang"
"16103448-8233-4496-8202-77fa707ef375","2025-04-19 16:28:59.895524+00","2025-04-19 16:28:59.895524+00",,"Trạm giao thông đường thủy","10.14754200","105.65561400","","Ô môn, Cần Thơ"
"1a43d763-dc74-4246-bff7-b37e3b30d775","2025-04-19 16:28:59.895524+00","2025-04-19 16:28:59.895524+00",,"Sông Tiền 1- Cầu Vịnh Tre","10.61848100","105.20973100","","Châu Phú, An Giang"
"20749b0c-cb6d-4a4a-9fc5-ffa98b57af67","2025-04-19 16:28:59.895524+00","2025-04-19 16:28:59.895524+00",,"Sông Tiền - An Nhơn","10.28815000","105.87587500","","Châu Thành, Đồng Tháp"
"250a4685-e091-4fd0-b4b9-0d978ba176d4","2025-04-19 16:28:59.895524+00","2025-04-19 16:28:59.895524+00",,"Thạnh Mỹ","10.25300000","105.41719400","","Vĩnh Thạnh, Cần Thơ"
"25fb2da0-cd76-4566-9ced-582cbede70e6","2025-04-19 16:28:59.895524+00","2025-04-19 16:28:59.895524+00",,"Cầu Kênh Ông Cò - Vĩnh Trạch","10.32310000","105.33040000","","Thoại Sơn, An Giang"
"2926a9b3-e062-4481-a032-06b934344c4f","2025-04-19 16:28:59.895524+00","2025-04-19 16:28:59.895524+00",,"Long Hồ - Phú Thuận-Đồng Phú","10.30694400","105.95500000","","Long Hồ, Vĩnh Long"
"4093ae7e-39c7-4a68-8f39-a85c013c0f3c","2025-04-19 16:28:59.895524+00","2025-04-19 16:28:59.895524+00",,"Bình Thành","10.59663900","105.22827800","","Phú Tân, An Giang"
"454eaef5-2b62-49d4-ab15-628f94336f45","2025-04-19 16:28:59.895524+00","2025-04-19 16:28:59.895524+00",,"Tiên Long","10.31929600","106.28984400","","Châu Thành, Bến Tre"
"4591307c-1a64-4168-89e1-2952259a5f2d","2025-04-19 16:28:59.895524+00","2025-04-19 16:28:59.895524+00",,"Sông Tiền - Tân Khánh Đông","10.36666700","105.72861100","","Sa Đéc, Đồng Tháp"
